,title,author,rating,num_rating,num_review,page,year_published,publisher,summary,topic
0,the diary of a young girl,Anne Frank,4.16,2887098,30439,283.0,July 1993,by Bantam,"Discovered in the attic in which she spent the last years of her life, Anne Frank’s remarkable diary has become a world classic—a powerful reminder of the horrors of war and an eloquent testament to the human spirit. In 1942, with the Nazis occupying Holland, a thirteen-year-old Jewish girl and her family fled their home in Amsterdam and went into hiding. For the next two years, until their whereabouts were betrayed to the Gestapo, the Franks and another family lived cloistered in the “Secret Annexe” of an old office building. Cut off from the outside world, they faced hunger, boredom, the constant cruelties of living in confined quarters, and the ever-present threat of discovery and death. In her diary Anne Frank recorded vivid impressions of her experiences during this period. By turns thoughtful, moving, and surprisingly humorous, her account offers a fascinating commentary on human courage and frailty and a compelling self-portrait of a sensitive and spirited young woman whose promise was tragically cut short.--back cover",family
1,night,Elie Wiesel,4.34,1008920,30066,115.0,January 16th 2006,by Hill & Wang,"Born in the town of Sighet, Transylvania, Elie Wiesel was a teenager when he and his family were taken from their home in 1944 to Auschwitz concentration camp, and then to Buchenwald. Night is the terrifying record of Elie Wiesel's memories of the death of his family, the death of his own innocence, and his despair as a deeply observant Jew confronting the absolute evil of man. This new translation by his wife and most frequent translator, Marion Wiesel, corrects important details and presents the most accurate rendering in English of Elie Wiesel's testimony to what happened in the camps and of his unforgettable message that this horror must simply never be allowed to happen again.",family
2,being and time,Martin Heidegger,4.03,20738,613,589.0,August 1st 1962,by Harper & Row (NYC/Evanston),"One of the most important philosophical works of our time, a work that has had tremendous influence on philosophy, literature, and psychology, and has literally changed the intellectual map of the modern world.",art
3,hiroshima,John Hersey,3.99,63589,3332,152.0,March 4th 1989,by Vintage,"On August 6, 1945, Hiroshima was destroyed by the first atom bomb ever dropped on a city. This book, John Hersey's journalistic masterpiece, tells what happened on that day. Told through the memories of survivors, this timeless, powerful and compassionate document has become a classic ""that stirs the conscience of humanity"" (The New York Times).Almost four decades after the original publication of this celebrated book, John Hersey went back to Hiroshima in search of the people whose stories he had told.  His account of what he discovered about them is now the eloquent and moving final chapter of 
Hiroshima
.",biography
4,into thin air: a personal account of the mount everest disaster,Jon Krakauer,4.19,411855,14209,368.0,October 19th 1999,by Anchor Books,"A bank of clouds was assembling on the not-so-distant horizon, but journalist-mountaineer Jon Krakauer, standing on the summit of Mt. Everest, saw nothing that ""suggested that a murderous storm was bearing down."" He was wrong. The storm, which claimed five lives and left countless more--including Krakauer's--in guilt-ridden disarray, would also provide the impetus for Into Thin Air, Krakauer's epic account of the May 1996 disaster.",biography
5,the shock doctrine: the rise of disaster capitalism,Naomi Klein,4.23,40707,2942,558.0,September 18th 2007,by Metropolitan Books,"In her ground-breaking reporting from Iraq, Naomi Klein exposed how the trauma of invasion was being exploited to remake the country in the interest of foreign corporations. She called it ""disaster capitalism."" Covering Sri Lanka in the wake of the tsunami, and New Orleans post-Katrina, she witnessed something remarkably similar. People still reeling from catastrophe were being hit again, this time with economic ""shock treatment"" losing their land and homes to rapid-fire corporate makeovers. The Shock Doctrine retells the story of the most dominant ideology of our time, Milton Friedman's free market economic revolution. In contrast to the popular myth of this movement's peaceful global victory, Klein shows how it has exploited moments of shock and extreme violence in order to implement its economic policies in so many parts of the world from Latin America and Eastern Europe to South Africa, Russia, and Iraq. At the core of disaster capitalism is the use of cataclysmic events to advance radical privatization combined with the privatization of the disaster response itself. By capitalizing on crises, created by nature or war, Klein argues that the disaster capitalism complex now exists as a booming new economy, and is the violent culmination of a radical economic project that has been incubating for fifty years.",race
6,into the wild,Jon Krakauer,3.99,911782,22347,207.0,January 20th 1997,by Anchor Books,"Librarian's Note: An alternate cover edition can be found hereIn April, 1992, a young man from a well-to-do family hitchhiked to Alaska and walked alone into the wilderness north of Mt. McKinley. His name was Christopher Johnson McCandless. He had given $25,000 in savings to charity, abandoned his car and most of his possessions, burned all the cash in his wallet, and invented a new life for himself. Four months later, a party of moose hunters found his decomposed body. How McCandless came to die is the unforgettable story of Into the Wild.Immediately after graduating from college in 1991, McCandless had roamed through the West and Southwest on a vision quest like those made by his heroes Jack London and John Muir. In the Mojave Desert he abandoned his car, stripped it of its license plates, and burned all of his cash. He would give himself a new name, Alexander Supertramp, and, unencumbered by money and belongings, he would be free to wallow in the raw, unfiltered experiences that nature presented. Craving a blank spot on the map, McCandless simply threw away the maps. Leaving behind his desperate parents and sister, he vanished into the wild.",biography
7,"the age of insight: the quest to understand the unconscious in art, mind, and brain from vienna 1900 to the present",Eric R. Kandel,4.23,1453,147,656.0,March 27th 2012,by Random House,"A brilliant book by Nobel Prize winner Eric R. Kandel, The Age of Insight takes us to Vienna 1900, where leaders in science, medicine, and art began a revolution that changed forever how we think about the human mind—our conscious and unconscious thoughts and emotions—and how mind and brain relate to art.    At the turn of the century, Vienna was the cultural capital of Europe. Artists and scientists met in glittering salons, where they freely exchanged ideas that led to revolutionary breakthroughs in psychology, brain science, literature, and art. Kandel takes us into the world of Vienna to trace, in rich and rewarding detail, the ideas and advances made then, and their enduring influence today.   The Vienna School of Medicine led the way with its realization that truth lies hidden beneath the surface. That principle infused Viennese culture and strongly influenced the other pioneers of Vienna 1900. Sigmund Freud shocked the world with his insights into how our everyday unconscious aggressive and erotic desires are repressed and disguised in symbols, dreams, and behavior. Arthur Schnitzler revealed women’s unconscious sexuality in his novels through his innovative use of the interior monologue. Gustav Klimt, Oscar Kokoschka, and Egon Schiele created startlingly evocative and honest portraits that expressed unconscious lust, desire, anxiety, and the fear of death.   Kandel tells the story of how these pioneers—Freud, Schnitzler, Klimt, Kokoschka, and Schiele—inspired by the Vienna School of Medicine, in turn influenced the founders of the Vienna School of Art History to ask pivotal questions such as What does the viewer bring to a work of art? How does the beholder respond to it? These questions prompted new and ongoing discoveries in psychology and brain biology, leading to revelations about how we see and perceive, how we think and feel, and how we respond to and create works of art. Kandel, one of the leading scientific thinkers of our time, places these five innovators in the context of today’s cutting-edge science and gives us a new understanding of the modernist art of Klimt, Kokoschka, and Schiele, as well as the school of thought of Freud and Schnitzler. Reinvigorating the intellectual enquiry that began in Vienna 1900, The Age of Insight is a wonderfully written, superbly researched, and beautifully illustrated book that also provides a foundation for future work in neuroscience and the humanities. It is an extraordinary book from an international leader in neuroscience and intellectual history.",art
8,bury my heart at wounded knee: an indian history of the american west,Dee Brown,4.19,72308,3927,509.0,January 23rd 2001,"by Henry Holt and Company, LLC","Now a special 30th-anniversary edition in both hardcover and paperback, the classic bestselling history The New York Times called ""Original, remarkable, and finally heartbreaking...Impossible to put down.""Bury My Heart at Wounded Knee is Dee Brown's eloquent, fully documented account of the systematic destruction of the American Indian during the second half of the nineteenth century. A national bestseller in hardcover for more than a year after its initial publication, it has sold almost four million copies and has been translated into seventeen languages. For this elegant thirtieth-anniversary edition—published in both hardcover and paperback—Brown has contributed an incisive new preface.Using council records, autobiographies, and firsthand descriptions, Brown allows the great chiefs and warriors of the Dakota, Ute, Sioux, Cheyenne, and other tribes to tell us in their own words of the battles, massacres, and broken treaties that finally left them demoralized and defeated. A unique and disturbing narrative told with force and clarity, Bury My Heart at Wounded Knee changed forever our vision of how the West was really won.",art
9,freakonomics: a rogue economist explores the hidden side of everything,Steven D. Levitt,3.98,736788,16696,320.0,October 17th 2006,by William Morrow,"Which is more dangerous, a gun or a swimming pool? What do schoolteachers and sumo wrestlers have in common? Why do drug dealers still live with their moms? How much do parents really matter? What kind of impact did Roe v. Wade have on violent crime? Freakonomics will literally redefine the way we view the modern world.These may not sound like typical questions for an economist to ask. But Steven D. Levitt is not a typical economist. He is a much heralded scholar who studies the stuff and riddles of everyday life -- from cheating and crime to sports and child rearing -- and whose conclusions regularly turn the conventional wisdom on its head. He usually begins with a mountain of data and a simple, unasked question. Some of these questions concern life-and-death issues; others have an admittedly freakish quality. Thus the new field of study contained in this book: freakonomics.Through forceful storytelling and wry insight, Levitt and co-author Stephen J. Dubner show that economics is, at root, the study of incentives -- how people get what they want, or need, especially when other people want or need the same thing. In Freakonomics, they set out to explore the hidden side of ... well, everything. The inner workings of a crack gang. The truth about real-estate agents. The myths of campaign finance. The telltale marks of a cheating schoolteacher. The secrets of the Ku Klux Klan.What unites all these stories is a belief that the modern world, despite a surfeit of obfuscation, complication, and downright deceit, is not impenetrable, is not unknowable, and -- if the right questions are asked -- is even more intriguing than we think. All it takes is a new way of looking. Steven Levitt, through devilishly clever and clear-eyed thinking, shows how to see through all the clutter.Freakonomics establishes this unconventional premise: If morality represents how we would like the world to work, then economics represents how it actually does work. It is true that readers of this book will be armed with enough riddles and stories to last a thousand cocktail parties. But Freakonomics can provide more than that. It will literally redefine the way we view the modern world.(front flap)",business
